OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Community Reporting Area Vacancy Rate,Year over Year Vacancy Rate Change,PROPERTIES,UNIT_COUNT,CONCERN,Shape__Area,Shape__Length
69,53033011200,112,Census Tract 112,South Park,3.1,2001,0.08,0.017,15,175,,26463890.0310974,27002.3375751905
70,53033010900,109,Census Tract 109,Georgetown,3.2,2001,0.058,0.014,13,137,,51677122.7107849,44978.7538438156
71,53033011002,110.02,Census Tract 110.02,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,18508908.4571838,22511.1267649617
72,53033011102,111.02,Census Tract 111.02,Seward Park,4.3,2001,0.031,0.013,22,450,Medium,13970026.6890106,20411.1700649139
73,53033010702,107.02,Census Tract 107.02,High Point,2.2,2001,0,0,0,0,,8396926.79307556,14935.9302412484
74,53033001100,11,Census Tract 11,Olympic Hills/Victory Heights,8.2,2001,0.112,0.022,11,188,,11416399.5888062,14159.1273465597
75,53033000700,7,Census Tract 7,Olympic Hills/Victory Heights,8.2,2001,0.056,0.027,53,755,,13932242.3934631,16134.0299149422
76,53033000202,2.02,Census Tract 2.02,Olympic Hills/Victory Heights,8.2,2001,0.064,0.021,6,187,,15930118.4908752,17285.8273694368
77,53033000101,1.01,Census Tract 1.01,Cedar Park/Meadowbrook,8.3,2001,0.079,0.034,33,948,,4465058.88146973,8662.07421505589
78,53033003301,33.01,Census Tract 33.01,Whittier Heights,10.2,2001,0.046,0.017,58,525,Medium,7202858.49346924,11177.1813262219
79,53033003602,36.02,Census Tract 36.02,Green Lake,9.4,2001,0.068,0.016,42,558,,5621886.08477783,11471.0943824279
80,53033001900,19,Census Tract 19,Northgate/Maple Leaf,8.1,2001,0.062,0.023,8,129,,17945171.5240173,18948.4812689278
81,53033001702,17.02,Census Tract 17.02,Greenwood/Phinney Ridge,9.3,2001,0,0,0,0,,13779275.7612915,17476.4075143324
82,53033006500,65,Census Tract 65,North Capitol Hill,6.3,2001,0.051,0.014,74,950,,12352257.7561951,17921.5013322026
83,53033006200,62,Census Tract 62,Montlake/Portage Bay,7.1,2001,0,0,0,0,,24610619.7424011,40010.5992573485
84,53033005305,53.05,Census Tract 53.05,University District,7.2,2001,0.068,0.012,46,1174,,2292236.61618042,6048.60922233999
85,53033002600,26,Census Tract 26,Ravenna/Bryant,7.3,2001,0.052,0.021,5,191,,13398040.1758728,15933.937900155
86,53033002000,20,Census Tract 20,Northgate/Maple Leaf,8.1,2001,0.039,0.015,9,206,Medium,12183878.8231506,15509.5457092747
87,53033006300,63,Census Tract 63,Madison Park,6.5,2001,0.031,0.014,20,578,Medium,27750333.3955383,36285.8489218384
88,53033006600,66,Census Tract 66,Cascade/Eastlake,11.3,2001,0.091,0.015,80,1162,,11110296.8534851,21995.1062951424
89,53033006900,69,Census Tract 69,Queen Anne,12.3,2001,0.068,0.019,34,468,,9742176.64987183,15666.5439544695
90,53033006000,60,Census Tract 60,Queen Anne,12.3,2001,0.102,0.017,55,668,,14158764.7126465,19123.0326298116
91,53033005201,52.01,Census Tract 52.01,Wallingford,11.2,2001,0.059,0.018,19,269,,7536632.48083496,14175.9240617134
92,53033005000,50,Census Tract 50,Wallingford,11.2,2001,0.049,0.016,60,749,Medium,8151942.29489136,11560.148011522
93,53033008600,86,Census Tract 86,First Hill,6.1,2001,0.085,-0.061,45,997,,7656616.62564087,11640.7206126296
94,53033008002,80.02,Census Tract 80.02,Belltown,13.1,2001,0.113,0.038,14,1131,,2522029.80825806,7998.38246587977
95,53033007901,79.01,Census Tract 79.01,Central Area/Squire Park,5.3,2001,0.066,0.015,45,709,,2876299.50189209,7879.40433949822
96,53033007202,72.02,Census Tract 72.02,Cascade/Eastlake,11.3,2001,0.072,0.00699999999999999,10,559,,3020075.66329956,7591.70188344636
97,53033007301,73.01,Census Tract 73.01,Cascade/Eastlake,11.3,2001,0.073,0.04,6,274,,2699344.10806274,7422.61069281975
98,53033010302,103.02,Census Tract 103.02,Columbia City,4.2,2001,0.054,0.015,17,259,,6804418.75059509,11267.2532000827
99,53033009100,91,Census Tract 91,Pioneer Square/International District,13.3,2001,0.186,0.018,12,571,,4419685.26577759,10608.3854115205
100,53033009200,92,Census Tract 92,Pioneer Square/International District,13.3,2001,0.053,0.016,10,321,,3456088.55044556,12687.1211893969
101,53033011700,117,Census Tract 117,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,37826036.2597046,29439.6267373345
102,53033000500,5,Census Tract 5,Broadview/Bitter Lake,9.1,2001,0,0,0,0,,30294741.0541992,27094.5667843899
103,53033000601,6.01,Census Tract 6.01,Haller Lake,9.5,2001,0.044,0.019,15,569,Medium,15404952.5828857,20078.9564759328
104,53033003500,35,Census Tract 35,Greenwood/Phinney Ridge,9.3,2001,0.042,0.015,21,259,Medium,13828061.6665344,16634.3489620973
105,53033001500,15,Census Tract 15,North Beach/Blue Ridge,10.1,2001,0.068,0.017,4,59,,12300447.062561,13960.3795463703
106,53033001400,14,Census Tract 14,North Beach/Blue Ridge,10.1,2001,0.051,0.021,21,433,,23073388.6559448,30536.3374485091
107,53033001300,13,Census Tract 13,Licton Springs,9.2,2001,0.064,0.018,64,799,,12710036.9901733,14881.0870453396
108,53033003800,38,Census Tract 38,Ravenna/Bryant,7.3,2001,0.434,0.019,6,159,,6722791.39416504,10392.5315540704
109,53033007001,70.01,Census Tract 70.01,Queen Anne,12.3,2001,0.054,0.015,50,1374,,3856290.05014038,9530.30256857274
110,53033004800,48,Census Tract 48,Fremont,11.1,2001,0.046,0.014,25,216,Medium,13833886.8196411,18822.2365726525
111,53033005100,51,Census Tract 51,Wallingford,11.2,2001,0.056,0.016,22,248,,9490350.15280151,13462.5915467426
112,53033008200,82,Census Tract 82,First Hill,6.1,2001,0.058,0.018,11,810,,4044773.82589722,9102.1403414799
113,53033010101,101.01,Census Tract 101.01,Columbia City,4.2,2001,0.04,0.017,8,177,Medium,9381810.13056946,15311.6567050508
114,53033012100,121,Census Tract 121,Arbor Heights,1.1,2001,0,0,0,0,,18538900.9337463,25983.6162383482
115,53033011901,119.01,Census Tract 119.01,Rainier Beach,4.1,2001,0,0,0,0,,18097640.7372589,20485.6455423004
116,53033000602,6.02,Census Tract 6.02,Haller Lake,9.5,2001,0.043,0.031,8,326,Medium,25947507.8614197,23221.7047501309
117,53033000201,2.01,Census Tract 2.01,Olympic Hills/Victory Heights,8.2,2001,0.036,0.022,12,836,Medium,19446176.3249207,18651.5780841956
118,53033003302,33.02,Census Tract 33.02,Whittier Heights,10.2,2001,0.054,0.018,51,446,,6749336.48599243,10550.8179265194
119,53033005304,53.04,Census Tract 53.04,University District,7.2,2001,0,0,0,0,,786047.098052979,4083.12606626598
120,53033004202,42.02,Census Tract 42.02,Ravenna/Bryant,7.3,2001,0.037,0,5,54,Medium,13141688.4516602,15651.6663663576
121,53033007404,74.04,Census Tract 74.04,Capitol Hill,6.2,2001,0.059,0.016,61,1177,,1654579.82751465,5775.69998668964
122,53033006701,67.01,Census Tract 67.01,Queen Anne,12.3,2001,0.081,0.012,13,360,,3639833.1784668,12143.7792365382
123,53033007800,78,Census Tract 78,Madrona/Leschi,5.1,2001,0,0,0,0,,22245158.163269,28746.3735215772
124,53033007503,75.03,Census Tract 75.03,Capitol Hill,6.2,2001,0.054,0.009,14,333,,2018614.36813354,6484.38948226953
125,53033007201,72.01,Census Tract 72.01,Cascade/Eastlake,11.3,2001,0.195,0.053,12,1675,,1622558.90014648,5873.2165106452
126,53033007203,72.03,Census Tract 72.03,Cascade/Eastlake,11.3,2001,0.105,0.019,7,162,,6238804.94293213,12493.9648041578
127,53033010301,103.01,Census Tract 103.01,Columbia City,4.2,2001,0.058,0.02,4,52,,10792262.4648438,16924.3685147596
128,53033009900,99,Census Tract 99,North Delridge,2.1,2001,0.063,0.016,16,464,,70254374.707016,64633.6615792341
129,53033009500,95,Census Tract 95,Mt. Baker/North Rainier,4.4,2001,0.164,0.021,12,140,,27424305.6749573,29618.2112966095
130,53033009400,94,Census Tract 94,North Beacon Hill/Jefferson Park,3.6,2001,0.073,0.018,52,509,,18150625.6758423,18874.5831831158
131,53033011801,118.01,Census Tract 118.01,Rainier Beach,4.1,2001,0.052,0.011,13,269,,12671173.5070038,15849.8135377743
132,53033011602,116.02,Census Tract 116.02,Fauntleroy/Seaview,1.2,2001,0.062,0.018,13,113,,16924173.2272644,24704.0405747324
133,53033011401,114.01,Census Tract 114.01,Roxhill/Westwood,2.4,2001,0.071,0.00699999999999999,6,565,,13273369.1432037,17478.0591593666
134,53033010701,107.01,Census Tract 107.01,High Point,2.2,2001,0.126,0.076,4,199,,15726285.722641,21302.3651802902
135,53033010602,106.02,Census Tract 106.02,Fauntleroy/Seaview,1.2,2001,0.047,0.015,20,317,Medium,15462014.0646667,23774.9471378089
136,53033000900,9,Census Tract 9,Cedar Park/Meadowbrook,8.3,2001,0,0,0,0,,10031158.8856812,20828.1661958069
137,53033000402,4.02,Census Tract 4.02,Broadview/Bitter Lake,9.1,2001,0.043,0.018,28,485,Medium,19362220.5229187,21397.1752981976
138,53033000300,3,Census Tract 3,Haller Lake,9.5,2001,0.024,0.012,7,83,High,13033864.5966187,17298.0295354457
139,53033003202,32.02,Census Tract 32.02,Sunset Hill/Loyal Heights,10.3,2001,0.049,0.014,34,345,Medium,10289818.4570313,12945.3948643709
140,53033003000,30,Census Tract 30,Whittier Heights,10.2,2001,0.041,0.017,22,170,Medium,16072222.0088196,16061.947620856
141,53033001701,17.01,Census Tract 17.01,Greenwood/Phinney Ridge,9.3,2001,0.054,0.022,26,370,,9609026.08453369,17164.4547776423
142,53033001600,16,Census Tract 16,North Beach/Blue Ridge,10.1,2001,0.049,0.014,11,143,Medium,20575392.7101746,23147.6459804202
143,53033002100,21,Census Tract 21,Wedgwood/View Ridge,7.4,2001,0.043,0.016,16,188,Medium,14696796.7441101,16139.9218598102
144,53033003900,39,Census Tract 39,Wedgwood/View Ridge,7.4,2001,0.028,0.009,8,108,High,10481334.9800415,13200.9092050947
145,53033007102,71.02,Census Tract 71.02,Queen Anne,12.3,2001,0.085,-0.012,19,577,,3615500.8977356,11499.9407456685
146,53033006702,67.02,Census Tract 67.02,Queen Anne,12.3,2001,0.062,0.016,31,388,,3280147.99505615,8593.8649046644
147,53033005401,54.01,Census Tract 54.01,Fremont,11.1,2001,0.061,0.033,32,375,,7892270.58761597,19740.10787087
148,53033008004,80.04,Census Tract 80.04,Belltown,13.1,2001,0.478,-0.027,7,738,,2908326.63348389,14944.9795882911
149,53033008003,80.03,Census Tract 80.03,Belltown,13.1,2001,0.062,0.017,7,402,,2122043.71142578,8720.99942149515
150,53033008402,84.02,Census Tract 84.02,Capitol Hill,6.2,2001,0.063,0.014,40,1187,,1565507.71533203,5220.86848686108
151,53033007303,73.03,Census Tract 73.03,Cascade/Eastlake,11.3,2001,0,0,0,0,,3374596.39306641,7984.8635220016
152,53033010002,100.02,Census Tract 100.02,North Beacon Hill/Jefferson Park,3.6,2001,0.062,0.019,19,419,,10204645.644455,13732.7653894052
153,53033011902,119.02,Census Tract 119.02,Rainier Beach,4.1,2001,0,0,0,0,,16290813.6344757,28897.5986341236
154,53033011802,118.02,Census Tract 118.02,Rainier Beach,4.1,2001,0.06,0.015,3,67,,12323056.7394714,17201.5467858114
155,53033004703,47.03,Census Tract 47.03,Ballard,10.4,2001,0.043,0.014,51,414,Medium,13030918.1381531,18718.8593915212
156,53033001000,10,Census Tract 10,Cedar Park/Meadowbrook,8.3,2001,0.139,0.016,5,122,,10270271.6852112,13147.0305998084
157,53033000403,4.03,Census Tract 4.03,Broadview/Bitter Lake,9.1,2001,0.049,0.022,11,409,Medium,7881185.92349243,14097.0266947453
158,53033003201,32.01,Census Tract 32.01,Sunset Hill/Loyal Heights,10.3,2001,0.046,0.02,26,608,Medium,11927788.6225891,32094.5033857248
159,53033004600,46,Census Tract 46,Green Lake,9.4,2001,0.062,0.016,7,65,,27829368.7579956,25514.2239990877
160,53033004702,47.02,Census Tract 47.02,Ballard,10.4,2001,0.065,0.018,36,403,,2867507.734375,6956.44967487604
161,53033002700,27,Census Tract 27,Green Lake,9.4,2001,0.051,0.016,21,257,,17058079.2767029,21942.8352783745
162,53033001800,18,Census Tract 18,Licton Springs,9.2,2001,0.052,0.009,54,562,,10182882.2714539,13946.100028213
163,53033005202,52.02,Census Tract 52.02,Wallingford,11.2,2001,0.038,0.01,40,710,Medium,2865193.63619995,7845.30321659896
164,53033005303,53.03,Census Tract 53.03,University District,7.2,2001,0,0,0,0,,24349784.4945679,33904.6213661119
165,53033004402,44.02,Census Tract 44.02,University District,7.2,2001,0.056,0.011,55,851,,3175021.43328857,7487.97985687102
166,53033004401,44.01,Census Tract 44.01,University District,7.2,2001,0.142,0.012,28,324,,7479571.76147461,12948.9751357778
167,53033005307,53.07,Census Tract 53.07,University District,7.2,2001,0.07,0.015,18,345,,1399526.47988892,4758.85069026771
168,53033004101,41.01,Census Tract 41.01,Laurelhurst/Sand Point,7.5,2001,0,0,2,63,High,16716852.6628113,24230.1579430562
169,53033005402,54.02,Census Tract 54.02,Fremont,11.1,2001,0.049,0.026,39,367,Medium,4993141.86450195,10063.7978469566
170,53033007700,77,Census Tract 77,Central Area/Squire Park,5.3,2001,0.047,0.011,18,253,Medium,11391208.2196655,15242.2097594939
171,53033007502,75.02,Census Tract 75.02,Capitol Hill,6.2,2001,0.057,0.016,57,901,,3400503.55529785,7403.62929266713
172,53033007600,76,Census Tract 76,Miller Park,6.4,2001,0.073,0.031,44,632,,6155389.38891602,9906.36833563623
173,53033010200,102,Census Tract 102,Seward Park,4.3,2001,0.053,0.027,4,76,,30129079.2078857,33439.4693972433
174,53033010401,104.01,Census Tract 104.01,Beacon Hill,3.5,2001,0,0,0,0,,17543421.029068,17342.9302013933
175,53033010402,104.02,Census Tract 104.02,Beacon Hill,3.5,2001,0,0,0,0,,18759692.8948212,18925.0430066197
176,53033010501,105.01,Census Tract 105.01,West Seattle Junction/Genesee Hill,1.3,2001,0.068,0.018,12,280,,7986746.71530151,12490.0968039152
177,53033010102,101.02,Census Tract 101.02,Columbia City,4.2,2001,0,0,0,0,,17314610.0391541,22274.170768035
178,53033009802,98.02,Census Tract 98.02,West Seattle Junction/Genesee Hill,1.3,2001,0.09,0.021,16,189,,9927510.52307129,12982.7549339758
179,53033009000,90,Census Tract 90,Judkins Park,5.2,2001,0.057,0.016,14,194,,9212173.19689941,14319.1029916181
180,53033026400,264,Census Tract 264,South Park,3.1,2001,0,0,0,0,,461382.048629761,5763.40767367231
181,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,2002,0.081,0.01,21,1209,,10851861.641449,15899.7733430541
182,53033000404,4.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,2002,0.075,0.011,7,454,,6791652.7237854,12962.5584131713
183,53033004901,49.01,Census Tract 49.01,Fremont,11.1,2002,0.068,0.00900000000000001,106,977,,5350888.21542358,9379.65576684679
184,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2002,0.067,-0.001,35,418,,7255879.06799316,11894.2888948854
185,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,2002,0.079,0.027,32,302,,10637151.8217773,13201.311297987
186,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,2002,0.056,0.009,14,107,,23137464.0452271,24704.5678017235
187,53033006400,64,Census Tract 64,Miller Park,6.4,2002,0.058,0.009,5,103,,9726351.90356445,13186.7701844683
188,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2002,0.058,0.015,8,69,,10539780.5728455,17192.703749828
189,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,2002,0,0,0,0,,10594634.2979736,16442.9685869958
190,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,2002,0.041,0.014,5,73,Medium,30127208.0188904,28505.8067930163
191,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,2002,0.037,0.018,2,54,Medium,26374983.680542,27560.0138429836
192,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2002,0.073,-0.039,34,572,,25124062.7388306,48668.2722430527
193,53033006800,68,Census Tract 68,Queen Anne,12.3,2002,0.06,0.009,23,234,,7729250.27154541,11275.3773479613
194,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,2002,0.087,0.00599999999999999,5,173,,5987812.08642578,14339.9950294181
195,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,2002,0.043,0.006,5,885,Medium,2992165.47857666,11427.1467556707
196,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,2002,0.051,0.006,13,176,,4641637.80010986,9715.12087740264
197,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2002,0.106,-0.102,4,663,,3368769.26522827,7802.42635391176
198,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2002,0.085,0.012,14,388,,5328474.60678101,9004.94722654019
199,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,2002,0.069,0.012,10,261,,102171584.839813,53946.3734519274
200,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,2002,0.19,0.087,23,464,,10504351.3417664,14546.1362419116
201,53033010001,100.01,Census Tract 100.01,North Beacon Hill/Jefferson Park,3.6,2002,0.066,0.01,16,198,,25052474.6053925,25628.9245317132
202,53033009801,98.01,Census Tract 98.01,West Seattle Junction/Genesee Hill,1.3,2002,0.068,0.00900000000000001,19,219,,10814248.9397583,13291.5490832838
203,53033008900,89,Census Tract 89,Madrona/Leschi,5.1,2002,0.056,0.009,15,234,,13690717.169342,19328.7463975703
204,53033026300,263,Census Tract 263,Rainier Beach,4.1,2002,0,0,0,0,,30724.63331604,954.048024444965
205,53033012000,120,Census Tract 120,Arbor Heights,1.1,2002,0,0,0,0,,15560990.4431915,16787.974281693
206,53033011101,111.01,Census Tract 111.01,Columbia City,4.2,2002,0.065,0.012,13,170,,12236718.0846863,15552.0743493747
207,53033011001,110.01,Census Tract 110.01,South Beacon Hill/NewHolly,3.4,2002,0,0,0,0,,11629041.0737,16287.3553131872
208,53033010800,108,Census Tract 108,Riverview,2.3,2002,0,0,0,0,,44087445.2204437,39019.3474976913
209,53033000800,8,Census Tract 8,Cedar Park/Meadowbrook,8.3,2002,0,0,0,0,,12290810.0239868,15312.0874645944
210,53033003400,34,Census Tract 34,Greenwood/Phinney Ridge,9.3,2002,0.054,0.011,9,93,,8472471.71472168,12629.322933575
